No.,Title,Description,URL
1,Apsara Clouder - Cloud Computing Specialist Certification : Publish a static website in China with ICP,15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/6
2,Apsara Clouder - Cloud Computing Specialist Certification ：Construct a dynamic website,15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/7
3,Apsara Clouder - Cloud Computing Specialist Certification : Operate and Manage a cloud server,15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/8
4,Apsara Clouder - Cloud Security Specialist Certification : Cloud platform security overview,15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/9
5,Apsara Clouder - Cloud Security Specialist Certification : Cloud Application Security,15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/10
6,Apsara Clouder - Big Data Specialist Certification : Analyze Log Data with Alibaba Cloud Big Data Platform,15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/11
7,test(do not delete),1 questions Time limit: 5 min,https://edu.alibabacloud.com/clouder/exam/intro/12
8,test2,1 questions Time limit: 5 min,https://edu.alibabacloud.com/clouder/exam/intro/13
9,test,2 questions Time limit: 20 min,https://edu.alibabacloud.com/clouder/exam/intro/14
10,Apsara Clouder - Cloud Computing Specialist Certification :Operate and manage RDS,15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/15
11,Apsara Clouder - Cloud Computing Specialist Certification :Operate and Manage OSS,15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/16
12,Apsara Clouder - Cloud Computing Specialist Certification :Use SLB to handle large traffic to your website,15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/17
13,Deploy an e-commerce website on Alibaba Cloud (using Magento),15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/18
14,Alibaba Cloud Big Data Quickstart Series: Data Integration,15 questions Time limit: 30 min,https://edu.alibabacloud.com/clouder/exam/intro/19
15,Alibaba JAVA Coding Guidelines,50 questions Time limit: 90 min,https://edu.alibabacloud.com/clouder/exam/intro/20
16,Generate business reports with quickBI,15 questions Time limit: 45 min,https://edu.alibabacloud.com/clouder/exam/intro/21
